# ts40 — pinned corpus manifest
# 40 corpus instances; 37 gold-bearing (the BINDING scoring basis)
# instance_id<TAB>state
arktype-json-schema-refs-dependencies	gold-bearing
awilix-async-container-initialization	gold-bearing
clack-async-autocomplete-options	gold-bearing
claude-code-by-agents-recursive-delegation	gold-bearing
cliffy-config-file-parsing	gold-bearing
csstree-shorthand-expansion-compression	gold-bearing
drizzle-orm-window-function-builders	gold-bearing
dynamodb-toolbox-conditional-attribute-requirements	gold-bearing
dynamodb-toolbox-lazy-recursive-schemas	gold-bearing
effect-sse-httpapi-streaming	errored
eicrud-keyset-pagination-cursor	gold-bearing
happy-dom-abort-pending-body-reads	gold-bearing
happy-dom-deterministic-intersectionobserver	gold-bearing
httpx-deterministic-cookie-store	gold-bearing
ink-grid-box-layout	gold-bearing
katex-multicolumn-array-spans	gold-bearing
kea-atomic-signal-selectors	gold-bearing
koota-composite-trait-aspects	gold-bearing
koota-deferred-mutation-buffer	gold-bearing
koota-pair-relation-tracking	gold-bearing
koota-query-predicates	gold-bearing
kysely-window-grouping-helpers	gold-bearing
meriyah-explicit-resource-declarations	gold-bearing
obsidian-linter-auto-table-of-contents	gold-bearing
obsidian-linter-link-format-conversion	zero-gold
obsidian-linter-scoped-ignore-markers	gold-bearing
ofetch-per-origin-circuit-breaker	gold-bearing
optique-conditional-option-dependencies	gold-bearing
prometheus-transactional-reload-status	gold-bearing
query-persist-restored-query-state	errored
quill-shared-toolbar-focus	gold-bearing
sql-formatter-bigquery-pipe-formatting	gold-bearing
superjson-error-stack-serialization	gold-bearing
testem-bail-on-test-failure	gold-bearing
testem-per-launcher-reports	gold-bearing
true-myth-iterable-collection-combinators	gold-bearing
ts-pattern-match-each	gold-bearing
valibot-recursive-schema-composition	gold-bearing
vitest-duration-sharding	gold-bearing
yjs-map-conflict-detection	gold-bearing
