# py_nosphinx — pinned corpus manifest
# 40 corpus instances; 39 gold-bearing (the BINDING scoring basis)
# instance_id<TAB>state
pytest-dev__pytest-11143	gold-bearing
pytest-dev__pytest-11148	gold-bearing
pytest-dev__pytest-5103	gold-bearing
pytest-dev__pytest-5221	gold-bearing
pytest-dev__pytest-5227	zero-gold
pytest-dev__pytest-5413	gold-bearing
pytest-dev__pytest-5495	gold-bearing
pytest-dev__pytest-5692	gold-bearing
pytest-dev__pytest-6116	gold-bearing
pytest-dev__pytest-7168	gold-bearing
pytest-dev__pytest-7220	gold-bearing
pytest-dev__pytest-7373	gold-bearing
pytest-dev__pytest-7432	gold-bearing
pytest-dev__pytest-7490	gold-bearing
pytest-dev__pytest-8365	gold-bearing
pytest-dev__pytest-8906	gold-bearing
pytest-dev__pytest-9359	gold-bearing
scikit-learn__scikit-learn-10297	gold-bearing
scikit-learn__scikit-learn-10508	gold-bearing
scikit-learn__scikit-learn-10949	gold-bearing
scikit-learn__scikit-learn-11040	gold-bearing
scikit-learn__scikit-learn-11281	gold-bearing
scikit-learn__scikit-learn-12471	gold-bearing
scikit-learn__scikit-learn-13142	gold-bearing
scikit-learn__scikit-learn-13241	gold-bearing
scikit-learn__scikit-learn-13439	gold-bearing
scikit-learn__scikit-learn-13496	gold-bearing
scikit-learn__scikit-learn-13497	gold-bearing
scikit-learn__scikit-learn-13584	gold-bearing
scikit-learn__scikit-learn-13779	gold-bearing
scikit-learn__scikit-learn-14087	gold-bearing
scikit-learn__scikit-learn-14092	gold-bearing
scikit-learn__scikit-learn-14894	gold-bearing
scikit-learn__scikit-learn-14983	gold-bearing
scikit-learn__scikit-learn-15512	gold-bearing
scikit-learn__scikit-learn-15535	gold-bearing
scikit-learn__scikit-learn-25500	gold-bearing
scikit-learn__scikit-learn-25570	gold-bearing
scikit-learn__scikit-learn-25638	gold-bearing
scikit-learn__scikit-learn-25747	gold-bearing
